TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31
T_202,12,15,10,12,10,10,11,11,19,25,20,20,17,19,18,13,12,9,14,11,11,14,10,12,11,9,15,12,12,14,14,12
T_203,19,22,15,18,15,15,17,16,9,11,9,9,8,8,8,8,13,14,21,17,17,21,15,18,16,14,22,17,18,21,21,18
T_204,26,45,31,36,31,30,34,32,9,11,9,9,8,8,8,8,35,19,40,33,33,42,29,35,31,27,43,34,35,40,41,35
T_205,37,31,31,36,31,30,34,32,14,19,15,15,13,14,14,14,15,12,12,14,14,18,12,15,13,11,19,14,15,17,18,15
T_206,28,34,16,27,23,23,25,24,8,10,8,8,7,7,7,7,34,27,39,22,32,40,28,34,30,26,42,33,34,39,40,34
T_207,14,17,12,10,12,12,13,13,33,44,35,35,29,33,32,32,8,6,9,8,5,9,7,8,7,6,10,8,8,9,9,8
T_208,30,36,25,29,17,24,27,26,23,30,24,24,20,22,22,22,9,7,10,8,8,7,7,9,8,7,11,9,9,10,11,9
T_209,13,16,11,13,11,8,12,12,25,32,26,26,22,24,24,24,8,6,9,8,8,9,5,8,7,6,10,8,8,9,9,8
T_210,8,10,7,8,7,7,5,7,14,19,15,15,13,14,14,14,18,14,21,17,17,21,15,13,16,14,22,17,18,21,21,18
T_211,41,50,34,40,34,33,37,25,21,27,22,22,18,21,20,20,21,17,24,20,20,25,17,21,13,16,26,20,21,24,25,21
T_212,25,30,20,24,20,20,22,21,11,20,16,16,13,15,15,15,39,31,44,37,37,46,32,39,35,21,48,37,39,45,46,39
T_213,19,22,15,18,15,15,17,16,28,25,29,29,24,27,27,26,10,8,11,9,9,12,8,10,9,8,9,10,10,11,12,10
T_214,14,17,12,14,12,12,13,13,15,20,11,16,13,15,15,15,36,28,41,34,34,43,30,36,32,27,45,24,36,41,42,36
T_215,37,45,31,36,31,30,34,32,11,15,12,8,10,11,11,11,13,10,15,12,12,15,11,13,12,10,16,12,9,15,15,13
T_216,35,42,29,34,29,28,32,30,23,30,24,24,14,22,22,22,28,22,32,26,26,33,23,28,25,21,35,27,28,22,33,28
T_217,14,17,12,14,12,12,13,13,21,27,22,22,18,14,20,20,40,32,46,38,38,47,33,40,35,31,50,38,40,46,33,40
T_218,21,25,17,20,17,17,19,18,27,35,28,28,24,26,18,26,17,13,19,16,16,20,14,17,15,13,21,16,17,20,20,12
T_219,9,11,8,9,8,8,8,8,33,42,34,34,29,32,31,22,18,14,21,17,17,21,15,18,16,14,22,17,18,21,21,18
T_220,9,11,8,9,8,8,8,8,20,26,21,21,18,20,19,19,6,6,9,8,8,9,7,8,7,6,10,8,8,9,9,8
T_221,11,19,13,15,13,13,14,13,16,21,17,17,14,16,16,15,9,5,10,8,8,11,7,9,8,7,11,9,9,10,11,9
T_222,8,7,7,8,7,7,7,7,19,25,20,20,17,19,18,18,28,22,22,26,26,33,23,28,25,21,35,27,28,32,33,28
T_223,36,44,21,35,30,29,33,31,33,44,35,35,29,33,32,32,17,13,19,11,16,20,14,17,15,13,21,16,17,20,20,17
T_224,25,30,20,17,20,20,22,21,33,44,35,35,29,33,32,32,23,18,26,22,15,27,19,23,20,18,29,22,23,26,27,23
T_225,27,32,22,26,15,22,24,23,16,21,17,17,14,16,16,15,16,13,18,15,15,13,13,16,14,12,20,15,16,18,19,16
T_226,15,19,13,15,13,9,14,13,26,34,27,27,23,25,25,25,24,19,27,23,23,28,14,24,21,18,30,23,24,28,28,24
T_227,23,27,19,22,19,18,14,20,18,24,19,19,16,18,17,17,13,10,15,12,12,15,11,9,12,10,16,12,13,15,15,13
T_228,16,20,14,16,14,13,15,10,12,16,13,13,11,12,12,12,29,23,33,27,27,34,24,29,18,22,36,28,29,33,34,29
T_229,30,36,25,29,25,24,27,26,13,25,20,20,17,19,18,18,19,15,22,18,18,23,16,19,17,10,24,18,19,22,22,19
T_230,16,20,14,16,14,13,15,14,19,17,20,20,17,19,18,18,11,9,13,10,10,13,9,11,10,8,10,11,11,13,13,11
T_231,12,15,10,12,10,10,11,11,17,22,13,18,15,17,17,16,17,13,19,16,16,20,14,17,15,13,21,11,17,20,20,17
T_232,25,30,20,24,20,20,22,21,12,16,13,9,11,12,12,12,11,9,13,10,10,13,9,11,10,8,14,11,8,13,13,11
T_233,23,27,19,22,19,18,21,20,22,29,23,23,14,22,21,21,23,18,26,22,22,27,19,23,20,18,29,22,23,18,27,23
T_234,29,35,24,28,24,23,26,25,11,15,12,12,10,8,11,11,36,28,41,34,34,43,30,36,32,27,45,35,36,41,30,36
T_235,35,42,29,34,29,28,32,30,17,22,18,18,15,17,12,16,36,28,41,34,34,43,30,36,32,27,45,35,36,41,42,25
T_236,22,26,18,21,18,18,20,19,33,44,35,35,29,33,32,22,24,19,27,23,23,28,20,24,21,18,30,23,24,28,28,24
T_237,18,21,14,17,14,14,16,15,14,19,15,15,13,14,14,14,20,22,32,26,26,33,23,28,25,21,35,27,28,32,33,28
T_238,14,25,17,20,17,17,19,18,33,42,34,34,29,32,31,31,32,18,36,30,30,38,26,32,28,24,40,31,32,37,38,32
T_239,36,31,30,35,30,29,33,31,8,10,8,8,7,7,7,7,36,28,29,34,34,43,30,36,32,27,45,35,36,41,42,36
T_240,36,44,21,35,30,29,33,31,9,11,9,9,8,8,8,8,13,10,15,9,12,15,11,13,12,10,16,12,13,15,15,13
T_241,18,21,14,12,14,14,16,15,8,10,8,8,7,7,7,7,20,16,23,19,13,24,16,20,18,15,25,19,20,23,23,20
T_242,28,34,23,27,16,23,25,24,17,22,18,18,15,17,17,16,38,30,43,36,36,32,31,38,34,29,47,36,38,44,45,38
T_243,20,24,16,19,16,11,18,17,20,26,21,21,18,20,19,19,38,30,43,36,36,45,22,38,34,29,47,36,38,44,45,38
T_244,13,16,11,13,11,11,8,12,37,49,39,39,33,37,36,36,35,28,40,33,33,42,29,25,31,27,43,34,35,40,41,35
T_245,21,25,17,20,17,17,19,13,10,12,10,10,8,9,9,9,8,6,9,8,8,9,7,8,5,6,10,8,8,9,9,8
T_246,21,25,17,20,17,17,19,18,24,45,36,36,30,34,33,33,10,8,11,9,9,12,8,10,9,5,12,10,10,11,12,10
T_247,19,22,15,18,15,15,17,16,12,11,13,13,11,12,12,12,30,24,34,28,28,36,25,30,27,23,26,29,30,34,35,30
T_248,13,16,11,13,11,11,12,12,27,35,20,28,24,26,26,26,32,25,36,30,30,38,26,32,28,24,40,22,32,37,38,32
T_249,24,29,20,23,20,19,21,21,38,50,40,28,34,37,37,36,36,28,41,34,34,43,30,36,32,27,45,35,25,41,42,36
T_250,12,15,10,12,10,10,11,11,16,21,17,17,10,16,16,15,31,24,35,29,29,37,25,31,27,24,38,30,31,25,36,31
T_251,19,22,15,18,15,15,17,16,17,22,18,18,15,12,17,16,26,21,30,24,24,31,21,26,23,20,32,25,26,30,21,26
T_252,36,44,30,35,30,29,33,31,8,10,8,8,7,7,5,7,16,13,18,15,15,19,13,16,14,12,20,15,16,18,19,11
T_253,15,19,13,15,13,13,14,13,9,11,9,9,8,8,8,6,8,6,9,8,8,9,7,8,7,6,10,8,8,9,9,8
T_254,35,42,29,34,29,28,32,30,27,35,28,28,24,26,26,26,20,22,32,26,26,33,23,28,25,21,35,27,28,32,33,28
T_255,6,10,7,8,7,7,7,7,16,21,17,17,14,16,16,15,18,10,21,17,17,21,15,18,16,14,22,17,18,21,21,18
T_256,9,8,8,9,8,8,8,8,22,29,23,23,19,22,21,21,38,30,30,36,36,45,31,38,34,29,47,36,38,44,45,38
T_257,8,10,5,8,7,7,7,7,15,20,16,16,13,15,15,15,12,9,14,8,11,14,10,12,11,9,15,12,12,14,14,12
T_258,19,22,15,13,15,15,17,16,23,30,24,24,20,22,22,22,39,31,44,37,26,46,32,39,35,30,48,37,39,45,46,39
T_259,22,26,18,21,12,18,20,19,12,16,13,13,11,12,12,12,10,8,11,9,9,8,8,10,9,8,12,10,10,11,12,10
T_260,40,49,33,39,33,23,36,35,28,36,29,29,24,27,27,26,18,14,21,17,17,21,10,18,16,14,22,17,18,21,21,18
T_261,10,12,8,10,9,8,7,9,18,24,19,19,16,18,17,17,8,6,9,8,8,9,7,6,7,6,10,8,8,9,9,8
T_262,37,45,31,36,31,30,34,23,11,14,11,11,9,10,10,10,9,7,10,8,8,11,7,9,6,7,11,9,9,10,11,9
T_263,13,16,11,13,11,11,12,12,11,21,17,17,14,16,16,15,13,10,15,12,12,15,11,13,12,7,16,12,13,15,15,13
T_264,29,35,24,28,24,23,26,25,11,10,11,11,9,10,10,10,38,30,43,36,36,45,31,38,34,29,33,36,38,44,45,38
T_265,41,50,34,40,34,33,37,36,22,29,16,23,19,22,21,21,35,28,40,33,33,42,29,35,31,27,43,24,35,40,41,35
T_266,18,21,14,17,14,14,16,15,34,45,36,25,30,34,33,33,27,21,31,25,25,32,22,27,24,21,34,26,19,31,32,27
T_267,19,22,15,18,15,15,17,16,34,45,36,36,21,34,33,33,28,22,32,26,26,33,23,28,25,21,35,27,28,22,33,28
T_268,8,10,7,8,7,7,7,7,23,30,24,24,20,16,22,22,21,17,24,20,20,25,17,21,19,16,26,20,21,24,17,21
T_269,9,11,8,9,8,8,8,8,27,35,28,28,24,26,18,26,29,23,33,27,27,34,24,29,26,22,36,28,29,33,34,20
T_270,29,35,24,28,24,23,26,25,31,40,32,32,27,30,29,20,13,10,15,12,12,15,11,13,12,10,16,12,13,15,15,13
T_271,18,21,14,17,14,14,16,15,34,45,36,36,30,34,33,33,10,11,16,13,13,17,11,14,12,11,17,13,14,16,16,14
T_272,17,29,20,23,20,19,21,21,12,16,13,13,11,12,12,12,34,19,39,32,32,40,28,34,30,26,42,33,34,39,40,34
T_273,16,14,14,16,14,13,15,14,19,25,20,20,17,19,18,18,34,27,27,32,32,40,28,34,30,26,42,33,34,39,40,34
T_274,25,30,14,24,20,20,22,21,36,47,38,38,32,36,35,35,26,21,30,17,24,31,21,26,23,20,32,25,26,30,31,26
T_275,13,16,11,9,11,11,12,12,36,47,38,38,32,36,35,35,37,29,42,35,24,44,30,37,33,28,46,36,37,42,43,37
T_276,30,36,25,29,17,24,27,26,33,44,35,35,29,33,32,32,15,12,17,14,14,12,12,15,13,11,19,14,15,17,18,15
T_277,20,24,16,19,16,11,18,17,8,10,8,8,7,7,7,7,19,15,22,18,18,23,11,19,17,14,24,18,19,22,22,19
T_278,11,14,9,11,9,9,7,10,10,12,10,10,8,9,9,9,37,29,42,35,35,44,30,26,33,28,46,36,37,42,43,37
T_279,18,21,14,17,14,14,16,11,29,37,30,30,25,28,28,27,36,28,41,34,34,43,30,36,22,27,45,35,36,41,42,36
T_280,11,14,9,11,9,9,10,10,21,40,32,32,27,30,29,29,13,10,15,12,12,15,11,13,12,7,16,12,13,15,15,13
T_281,24,29,20,23,20,19,21,21,34,31,36,36,30,34,33,33,22,17,25,21,21,26,18,22,19,17,19,21,22,25,26,22
T_282,37,45,31,36,31,30,34,32,30,39,22,31,26,29,28,28,16,13,18,15,15,19,13,16,14,12,20,11,16,18,19,16
T_283,37,45,31,36,31,30,34,32,25,32,26,18,22,24,24,24,12,9,14,11,11,14,10,12,11,9,15,12,8,14,14,12
T_284,25,30,20,24,20,20,22,21,15,20,16,16,9,15,15,15,38,30,43,36,36,45,31,38,34,29,47,36,38,31,45,38
T_285,29,35,24,28,24,23,26,25,8,10,8,8,7,5,7,7,38,30,43,36,36,45,31,38,34,29,47,36,38,44,31,38
T_286,33,40,27,32,27,27,30,29,27,35,28,28,24,26,18,26,22,17,25,21,21,26,18,22,19,17,27,21,22,25,26,15
T_287,37,45,31,36,31,30,34,32,17,22,18,18,15,17,17,11,9,7,10,8,8,11,7,9,8,7,11,9,9,10,11,9
T_288,13,16,11,13,11,11,12,12,36,47,38,38,32,36,35,35,18,20,28,24,24,30,21,25,22,19,31,24,25,29,29,25
T_289,14,25,17,20,17,17,19,18,11,15,12,12,10,11,11,11,26,14,30,24,24,31,21,26,23,20,32,25,26,30,31,26
T_290,39,33,32,38,32,32,35,34,37,49,39,39,33,37,36,36,16,13,13,15,15,19,13,16,14,12,20,15,16,18,19,16
T_291,39,47,23,38,32,32,35,34,10,12,10,10,8,9,9,9,12,9,14,8,11,14,10,12,11,9,15,12,12,14,14,12
T_292,36,44,30,25,30,29,33,31,17,22,18,18,15,17,17,16,31,24,35,29,20,37,25,31,27,24,38,30,31,36,36,31
T_293,8,10,7,8,5,7,7,7,8,10,8,8,7,7,7,7,20,16,23,19,19,17,16,20,18,15,25,19,20,23,23,20
T_294,10,12,8,10,9,6,9,9,9,11,9,9,8,8,8,8,39,31,44,37,37,46,22,39,35,30,48,37,39,45,46,39
T_295,31,37,25,30,26,25,20,27,12,16,13,13,11,12,12,12,16,13,18,15,15,19,13,11,14,12,20,15,16,18,19,16
T_296,33,40,27,32,27,27,30,20,36,47,38,38,32,36,35,35,22,17,25,21,21,26,18,22,14,17,27,21,22,25,26,22
T_297,37,45,31,36,31,30,34,32,23,44,35,35,29,33,32,32,18,14,21,17,17,21,15,18,16,10,22,17,18,21,21,18
T_298,32,39,26,31,26,26,29,28,26,24,27,27,23,25,25,25,30,24,34,28,28,36,25,30,27,23,26,29,30,34,35,30
T_299,27,32,22,26,22,22,24,23,27,35,20,28,24,26,26,26,17,13,19,16,16,20,14,17,15,13,21,11,17,20,20,17
T_300,16,20,14,16,14,13,15,14,20,26,21,15,18,20,19,19,28,22,32,26,26,33,23,28,25,21,35,27,19,32,33,28
T_301,8,10,7,8,7,7,7,7,28,36,29,29,17,27,27,26,8,6,9,8,8,9,7,8,7,6,10,8,8,6,9,8
T_302,29,35,24,28,24,23,26,25,12,16,13,13,11,9,12,12,39,31,44,37,37,46,32,39,35,30,48,37,39,45,32,39
T_303,19,22,15,18,15,15,17,16,13,17,14,14,12,13,9,13,32,25,36,30,30,38,26,32,28,24,40,31,32,37,38,22
T_304,39,47,32,38,32,32,35,34,33,42,34,34,29,32,31,22,30,24,34,28,28,36,25,30,27,23,37,29,30,34,35,30
T_305,12,15,10,12,10,10,11,11,33,42,34,34,29,32,31,31,28,32,46,38,38,47,33,40,35,31,50,38,40,46,47,40
T_306,28,49,33,39,33,33,36,35,25,32,26,26,22,24,24,24,12,7,14,11,11,14,10,12,11,9,15,12,12,14,14,12
T_307,10,9,8,10,9,8,9,9,35,46,37,37,31,35,34,34,26,21,21,24,24,31,21,26,23,20,32,25,26,30,31,26
T_308,19,22,11,18,15,15,17,16,14,19,15,15,13,14,14,14,39,31,44,26,37,46,32,39,35,30,48,37,39,45,46,39
T_309,8,10,7,6,7,7,7,7,18,24,19,19,16,18,17,17,34,27,39,32,22,40,28,34,30,26,42,33,34,39,40,34
T_310,9,11,8,9,5,8,8,8,35,46,37,37,31,35,34,34,12,9,14,11,11,10,10,12,11,9,15,12,12,14,14,12
T_311,13,16,11,13,11,8,12,12,34,45,36,36,30,34,33,33,8,6,9,8,8,9,5,8,7,6,10,8,8,9,9,8
T_312,39,47,32,38,32,32,25,34,12,16,13,13,11,12,12,12,35,28,40,33,33,42,29,25,31,27,43,34,35,40,41,35
T_313,36,44,30,35,30,29,33,22,21,27,22,22,18,21,20,20,15,12,17,14,14,18,12,15,9,11,19,14,15,17,18,15
T_314,28,34,23,27,23,23,25,24,11,20,16,16,13,15,15,15,20,16,23,19,19,24,16,20,18,11,25,19,20,23,23,20
T_315,29,35,24,28,24,23,26,25,11,10,12,12,10,11,11,11,29,23,33,27,27,34,24,29,26,22,25,28,29,33,34,29
T_316,22,26,18,21,18,18,20,19,36,47,27,38,32,36,35,35,10,8,11,9,9,12,8,10,9,8,12,7,10,11,12,10
T_317,30,36,25,29,25,24,27,26,36,47,38,26,32,36,35,35,23,18,26,22,22,27,19,23,20,18,29,22,16,26,27,23
T_318,13,16,11,13,11,11,12,12,21,27,22,22,13,21,20,20,23,18,26,22,22,27,19,23,20,18,29,22,23,18,27,23
T_319,14,17,12,14,12,12,13,13,9,11,9,9,8,6,8,8,25,20,28,24,24,30,21,25,22,19,31,24,25,29,21,25
T_320,35,42,29,34,29,28,32,30,24,31,25,25,21,23,16,23,35,28,40,33,33,42,29,35,31,27,43,34,35,40,41,24
T_321,35,42,29,34,29,28,32,30,25,32,26,26,22,24,24,17,40,32,46,38,38,47,33,40,35,31,50,38,40,46,47,40
T_322,27,32,22,26,22,22,24,23,15,20,16,16,13,15,15,15,21,24,34,28,28,36,25,30,27,23,37,29,30,34,35,30
T_323,27,46,31,37,31,31,35,33,11,15,12,12,10,11,11,11,23,13,26,22,22,27,19,23,20,18,29,22,23,26,27,23
T_324,15,13,13,15,13,13,14,13,30,39,31,31,26,29,28,28,11,9,9,10,10,13,9,11,10,8,14,11,11,13,13,11
T_325,20,24,11,19,16,16,18,17,19,25,20,20,17,19,18,18,27,21,31,18,25,32,22,27,24,21,34,26,27,31,32,27
T_326,38,46,31,26,31,31,35,33,37,49,39,39,33,37,36,36,23,18,26,22,15,27,19,23,20,18,29,22,23,26,27,23
T_327,37,45,31,36,21,30,34,32,15,20,16,16,13,15,15,15,21,17,24,20,20,17,17,21,19,16,26,20,21,24,25,21
T_328,13,16,11,13,11,8,12,12,21,27,22,22,18,21,20,20,27,21,31,25,25,32,16,27,24,21,34,26,27,31,32,27
T_329,23,27,19,22,19,18,14,20,17,22,18,18,15,17,17,16,9,7,10,8,8,11,7,6,8,7,11,9,9,10,11,9
T_330,16,20,14,16,14,13,15,10,29,37,30,30,25,28,28,27,24,19,27,23,23,28,20,24,15,18,30,23,24,28,28,24
T_331,12,15,10,12,10,10,11,11,11,21,17,17,14,16,16,15,17,13,19,16,16,20,14,17,15,9,21,16,17,20,20,17
T_332,39,47,32,38,32,32,35,34,27,24,28,28,24,26,26,26,33,26,38,31,31,39,27,33,29,25,29,32,33,38,39,33
T_333,39,47,32,38,32,32,35,34,8,10,6,8,7,7,7,7,26,21,30,24,24,31,21,26,23,20,32,17,26,30,31,26
T_334,23,27,19,22,19,18,21,20,37,49,39,27,33,37,36,36,28,22,32,26,26,33,23,28,25,21,35,27,19,32,33,28
T_335,9,11,8,9,8,8,8,8,31,40,32,32,19,30,29,29,31,24,35,29,29,37,25,31,27,24,38,30,31,25,36,31
T_336,26,31,21,25,21,21,23,22,29,37,30,30,25,20,28,27,36,28,41,34,34,43,30,36,32,27,45,35,36,41,30,36
T_337,27,32,22,26,22,22,24,23,38,50,40,40,34,37,26,36,18,14,21,17,17,21,15,18,16,14,22,17,18,21,21,12
T_338,16,20,14,16,14,13,15,14,11,15,12,12,10,11,11,8,27,21,31,25,25,32,22,27,24,21,34,26,27,31,32,27
T_339,12,15,10,12,10,10,11,11,25,32,26,26,22,24,24,24,26,29,42,35,35,44,30,37,33,28,46,36,37,42,43,37
T_340,22,39,26,31,26,26,29,28,37,49,39,39,33,37,36,36,9,5,10,8,8,11,7,9,8,7,11,9,9,10,11,9
T_341,21,17,17,20,17,17,19,18,33,42,34,34,29,32,31,31,20,16,16,19,19,24,16,20,18,15,25,19,20,23,23,20
T_342,40,49,23,39,33,33,36,35,11,15,12,12,10,11,11,11,18,14,21,12,17,21,15,18,16,14,22,17,18,21,21,18
T_343,16,20,14,11,14,13,15,14,8,10,8,8,7,7,7,7,13,10,15,12,9,15,11,13,12,10,16,12,13,15,15,13
T_344,23,27,19,22,13,18,21,20,33,44,35,35,29,33,32,32,14,11,16,13,13,12,11,14,12,11,17,13,14,16,16,14
T_345,19,22,15,18,15,11,17,16,14,19,15,15,13,14,14,14,19,15,22,18,18,23,11,19,17,14,24,18,19,22,22,19
T_346,31,37,25,30,26,25,20,27,19,25,20,20,17,19,18,18,8,6,9,8,8,9,7,6,7,6,10,8,8,9,9,8
T_347,18,21,14,17,14,14,16,11,28,36,29,29,24,27,27,26,36,28,41,34,34,43,30,36,22,27,45,35,36,41,42,36
T_348,29,35,24,28,24,23,26,25,7,12,10,10,8,9,9,9,24,19,27,23,23,28,20,24,21,13,30,23,24,28,28,24
T_349,8,10,7,8,7,7,7,7,22,20,23,23,19,22,21,21,22,17,25,21,21,26,18,22,19,17,19,21,22,25,26,22
T_350,40,49,33,39,33,33,36,35,22,29,16,23,19,22,21,21,27,21,31,25,25,32,22,27,24,21,34,18,27,31,32,27
T_351,33,40,27,32,27,27,30,29,24,31,25,17,21,23,23,23,20,16,23,19,19,24,16,20,18,15,25,19,14,23,23,20
T_352,31,37,25,30,26,25,28,27,33,44,35,35,21,33,32,32,26,21,30,24,24,31,21,26,23,20,32,25,26,21,31,26
T_353,41,50,34,40,34,33,37,36,38,50,40,40,34,26,37,36,36,28,41,34,34,43,30,36,32,27,45,35,36,41,30,36
T_354,12,15,10,12,10,10,11,11,29,37,30,30,25,28,19,27,31,24,35,29,29,37,25,31,27,24,38,30,31,36,36,22
T_355,27,32,22,26,22,22,24,23,22,29,23,23,19,22,21,15,35,28,40,33,33,42,29,35,31,27,43,34,35,40,41,35
T_356,40,49,33,39,33,33,36,35,11,14,11,11,9,10,10,10,23,26,38,31,31,39,27,33,29,25,41,32,33,38,39,33
T_357,25,42,29,34,29,28,32,30,26,34,27,27,23,25,25,25,29,16,33,27,27,34,24,29,26,22,36,28,29,33,34,29
T_358,12,10,10,12,10,10,11,11,22,29,23,23,19,22,21,21,30,24,24,28,28,36,25,30,27,23,37,29,30,34,35,30
T_359,8,10,5,8,7,7,7,7,20,26,21,21,18,20,19,19,33,26,38,22,31,39,27,33,29,25,41,32,33,38,39,33
T_360,36,44,30,25,30,29,33,31,26,34,27,27,23,25,25,25,11,9,13,10,7,13,9,11,10,8,14,11,11,13,13,11
T_361,15,19,13,15,9,13,14,13,9,11,9,9,8,8,8,8,26,21,30,24,24,22,21,26,23,20,32,25,26,30,31,26
T_362,21,25,17,20,17,12,19,18,23,30,24,24,20,22,22,22,14,11,16,13,13,17,8,14,12,11,17,13,14,16,16,14
T_363,30,36,25,29,25,24,19,26,16,21,17,17,14,16,16,15,40,32,46,38,38,47,33,28,35,31,50,38,40,46,47,40
T_364,10,12,8,10,9,8,9,6,32,41,33,33,28,31,30,30,12,9,14,11,11,14,10,12,7,9,15,12,12,14,14,12
T_365,24,29,20,23,20,19,21,21,17,32,26,26,22,24,24,24,19,15,22,18,18,23,16,19,17,10,24,18,19,22,22,19
T_366,24,29,20,23,20,19,21,21,27,24,28,28,24,26,26,26,10,8,11,9,9,12,8,10,9,8,9,10,10,11,12,10
T_367,26,31,21,25,21,21,23,22,30,39,22,31,26,29,28,28,32,25,36,30,30,38,26,32,28,24,40,22,32,37,38,32
T_368,36,44,30,35,30,29,33,31,34,45,36,25,30,34,33,33,8,6,9,8,8,9,7,8,7,6,10,8,6,9,9,8
T_369,41,50,34,40,34,33,37,36,17,22,18,18,11,17,17,16,13,10,15,12,12,15,11,13,12,10,16,12,13,10,15,13
T_370,31,37,25,30,26,25,28,27,26,34,27,27,23,18,25,25,26,21,30,24,24,31,21,26,23,20,32,25,26,30,21,26
T_371,24,29,20,23,20,19,21,21,35,46,37,37,31,35,24,34,17,13,19,16,16,20,14,17,15,13,21,16,17,20,20,12
T_372,11,14,9,11,9,9,10,10,9,11,9,9,8,8,8,6,13,10,15,12,12,15,11,13,12,10,16,12,13,15,15,13
T_373,28,34,23,27,23,23,25,24,19,25,20,20,17,19,18,18,25,28,40,33,33,42,29,35,31,27,43,34,35,40,41,35
T_374,17,29,20,23,20,19,21,21,17,22,18,18,15,17,17,16,21,12,24,20,20,25,17,21,19,16,26,20,21,24,25,21
T_375,22,18,18,21,18,18,20,19,12,16,13,13,11,12,12,12,31,24,25,29,29,37,25,31,27,24,38,30,31,36,36,31
T_376,28,34,16,27,23,23,25,24,13,17,14,14,12,13,13,13,38,30,43,25,36,45,31,38,34,29,47,36,38,44,45,38
T_377,9,11,8,6,8,8,8,8,18,24,19,19,16,18,17,17,26,21,30,24,17,31,21,26,23,20,32,25,26,30,31,26
T_378,25,30,20,24,14,20,22,21,8,10,8,8,7,7,7,7,13,10,15,12,12,11,11,13,12,10,16,12,13,15,15,13
T_379,18,21,14,17,14,10,16,15,34,45,36,36,30,34,33,33,35,28,40,33,33,42,20,35,31,27,43,34,35,40,41,35
T_380,34,41,28,33,28,28,22,29,23,30,24,24,20,22,22,22,32,25,36,30,30,38,26,23,28,24,40,31,32,37,38,32
T_381,27,32,22,26,22,22,24,16,21,27,22,22,18,21,20,20,17,13,19,16,16,20,14,17,11,13,21,16,17,20,20,17
T_382,29,35,24,28,24,23,26,25,18,34,27,27,23,25,25,25,33,26,38,31,31,39,27,33,29,18,41,32,33,38,39,33
T_383,32,39,26,31,26,26,29,28,19,17,20,20,17,19,18,18,19,15,22,18,18,23,16,19,17,14,17,18,19,22,22,19
T_384,37,45,31,36,31,30,34,32,25,32,18,26,22,24,24,24,18,14,21,17,17,21,15,18,16,14,22,12,18,21,21,18
T_385,19,22,15,18,15,15,17,16,34,45,36,25,30,34,33,33,12,9,14,11,11,14,10,12,11,9,15,12,8,14,14,12
T_386,28,34,23,27,23,23,25,24,30,39,31,31,18,29,28,28,18,14,21,17,17,21,15,18,16,14,22,17,18,14,21,18
T_387,38,46,31,37,31,31,35,33,33,44,35,35,29,23,32,32,25,20,28,24,24,30,21,25,22,19,31,24,25,29,21,25
T_388,9,11,8,9,8,8,8,8,32,41,33,33,28,31,21,30,11,9,13,10,10,13,9,11,10,8,14,11,11,13,13,8
T_389,21,25,17,20,17,17,19,18,28,36,29,29,24,27,27,18,35,28,40,33,33,42,29,35,31,27,43,34,35,40,41,35
T_390,19,22,15,18,15,15,17,16,29,37,30,30,25,28,28,27,6,6,9,8,8,9,7,8,7,6,10,8,8,9,9,8
T_391,9,16,11,13,11,11,12,12,32,41,33,33,28,31,30,30,21,12,24,20,20,25,17,21,19,16,26,20,21,24,25,21
T_392,14,12,12,14,12,12,13,13,11,14,11,11,9,10,10,10,24,19,19,23,23,28,20,24,21,18,30,23,24,28,28,24
T_393,20,24,11,19,16,16,18,17,25,32,26,26,22,24,24,24,25,20,28,16,24,30,21,25,22,19,31,24,25,29,29,25
T_394,8,10,7,6,7,7,7,7,13,17,14,14,12,13,13,13,26,21,30,24,17,31,21,26,23,20,32,25,26,30,31,26
T_395,37,45,31,36,21,30,34,32,38,50,40,40,34,37,37,36,31,24,35,29,29,26,25,31,27,24,38,30,31,36,36,31
T_396,25,30,20,24,20,14,22,21,11,15,12,12,10,11,11,11,20,16,23,19,19,24,11,20,18,15,25,19,20,23,23,20
T_397,23,27,19,22,19,18,14,20,18,24,19,19,16,18,17,17,37,29,42,35,35,44,30,26,33,28,46,36,37,42,43,37
T_398,28,34,23,27,23,23,25,17,10,12,10,10,8,9,9,9,38,30,43,36,36,45,31,38,24,29,47,36,38,44,45,38
T_399,21,25,17,20,17,17,19,18,21,40,32,32,27,30,29,29,25,20,28,24,24,30,21,25,22,13,31,24,25,29,29,25
T_400,27,32,22,26,22,22,24,23,8,7,8,8,7,7,7,7,28,22,32,26,26,33,23,28,25,21,24,27,28,32,33,28
T_401,37,45,31,36,31,30,34,32,12,16,9,13,11,12,12,12,8,6,9,8,8,9,7,8,7,6,10,5,8,9,9,8
T_402,32,39,26,31,26,26,29,28,25,32,26,18,22,24,24,24,8,6,9,8,8,9,7,8,7,6,10,8,6,9,9,8
T_403,36,44,30,35,30,29,33,31,16,21,17,17,10,16,16,15,25,20,28,24,24,30,21,25,22,19,31,24,25,20,29,25
T_404,34,41,28,33,28,28,31,29,12,16,13,13,11,9,12,12,21,17,24,20,20,25,17,21,19,16,26,20,21,24,17,21
